epoch,accuracy,dice_coef,loss,lr,val_accuracy,val_dice_coef,val_loss
0,0.7810837626457214,0.10747763514518738,0.8925223350524902,1e-04,0.6355703473091125,0.016762634739279747,0.9832004904747009
0,0.9627410173416138,0.20522965490818024,0.794770359992981,1e-04,0.9594917893409729,0.02271607704460621,0.9772365689277649
1,0.976150393486023,0.2666768431663513,0.7333230972290039,1e-04,0.8794093132019043,0.039600271731615067,0.9603250622749329
2,0.9827783703804016,0.3348191976547241,0.6651808619499207,1e-04,0.9682995080947876,0.18087339401245117,0.8171902894973755
3,0.9858817458152771,0.4029574990272522,0.5970427393913269,1e-04,0.9390316605567932,0.2388688176870346,0.7607710361480713
4,0.9879379272460938,0.47117769718170166,0.5288223624229431,1e-04,0.9851905107498169,0.4070850908756256,0.5913532972335815
5,0.9894134402275085,0.5334376692771912,0.46656233072280884,1e-04,0.9872433543205261,0.5265998840332031,0.4746887683868408
6,0.9911680221557617,0.600497841835022,0.3995020091533661,1e-04,0.9906075596809387,0.5835208296775818,0.4165787100791931
7,0.9915772080421448,0.639348030090332,0.3606518507003784,1e-04,0.9910215735435486,0.6202839612960815,0.37647420167922974
8,0.9924659132957458,0.6868273615837097,0.31317251920700073,1e-04,0.9889565110206604,0.5866903066635132,0.41081321239471436
9,0.9928011894226074,0.7155921459197998,0.28440770506858826,1e-04,0.9916878342628479,0.6099434494972229,0.3876608908176422
10,0.9933831095695496,0.7459137439727783,0.2540862262248993,1e-04,0.9905117154121399,0.6622613072395325,0.3369447886943817
11,0.9936575889587402,0.7637985348701477,0.2362012416124344,1e-04,0.9912113547325134,0.6587954759597778,0.33855926990509033
12,0.9941258430480957,0.788102388381958,0.21189752221107483,1e-04,0.9881849884986877,0.5739783644676208,0.4239102005958557
13,0.9946359395980835,0.810402512550354,0.18959756195545197,1e-04,0.9911240935325623,0.670296311378479,0.32947102189064026
14,0.9947028160095215,0.8193251490592957,0.18067492544651031,1e-04,0.9921122789382935,0.7227430939674377,0.2758226990699768
15,0.9949681162834167,0.8325214385986328,0.1674787402153015,1e-04,0.990886926651001,0.7232908606529236,0.27732452750205994
16,0.9952307939529419,0.8453443050384521,0.15465594828128815,1e-04,0.9928116202354431,0.7764162421226501,0.2235366255044937
17,0.9955568313598633,0.858464241027832,0.1415356993675232,1e-04,0.9926453828811646,0.746142566204071,0.2456596940755844
18,0.9958665370941162,0.8708917498588562,0.1291082203388214,1e-04,0.9921273589134216,0.7258527874946594,0.2712172567844391
