epoch,accuracy,dice_coef,loss,lr,val_accuracy,val_dice_coef,val_loss
51,0.997803270816803,0.950043797492981,0.04995603859424591,1e-06,0.9936058521270752,0.8130789399147034,0.18570314347743988
52,0.9978115558624268,0.9502532482147217,0.04974652826786041,1e-07,0.9936075806617737,0.8133136630058289,0.18546873331069946
53,0.9978126883506775,0.9502816200256348,0.049718521535396576,1e-07,0.9936086535453796,0.8134206533432007,0.18536101281642914
54,0.9978131055831909,0.9503055214881897,0.049694690853357315,1e-07,0.9936084747314453,0.8134781718254089,0.18530285358428955
55,0.997813880443573,0.9503269195556641,0.049672991037368774,1e-07,0.993608832359314,0.8135115504264832,0.1852688491344452
56,0.9978143572807312,0.9503474831581116,0.04965239763259888,1e-07,0.9936082363128662,0.813531219959259,0.1852489411830902
57,0.997814953327179,0.9503678679466248,0.049632277339696884,1e-07,0.9936084747314453,0.8135417699813843,0.18523786962032318
58,0.9978154897689819,0.9503878355026245,0.04961219057440758,1e-07,0.9936082363128662,0.8135462999343872,0.18523305654525757
59,0.9978161454200745,0.9504077434539795,0.049591951072216034,1e-07,0.9936080574989319,0.8135465383529663,0.18523266911506653
60,0.9978171586990356,0.9504286646842957,0.049571383744478226,1e-07,0.9936082363128662,0.8135446310043335,0.1852344572544098
61,0.9978177547454834,0.9504492878913879,0.0495503731071949,1e-07,0.9936080574989319,0.8135408163070679,0.18523816764354706
