epoch,loss,lr,val_loss
0,0.5359041094779968,0.01,0.9406914114952087
1,0.33395811915397644,0.01,0.5388808250427246
2,0.2408369928598404,0.01,0.3380982577800751
3,0.19671645760536194,0.01,0.32380062341690063
4,0.17148950695991516,0.01,0.3557546138763428
5,0.15284541249275208,0.01,0.23277725279331207
6,0.13825064897537231,0.01,0.21406970918178558
7,0.12705713510513306,0.01,0.1792706549167633
8,0.1182892695069313,0.01,0.20145009458065033
9,0.11184373497962952,0.01,0.1909053474664688
10,0.10594046860933304,0.01,0.22565612196922302
11,0.10116499662399292,0.01,0.1652015596628189
12,0.09815116226673126,0.01,0.1846379041671753
13,0.09386688470840454,0.01,0.16015681624412537
14,0.09322129189968109,0.01,0.16890870034694672
15,0.08641725778579712,0.01,0.18316827714443207
16,0.08846993744373322,0.01,0.19300858676433563
17,0.08266838639974594,0.01,0.16321754455566406
18,0.0806611105799675,0.01,0.15519757568836212
19,0.0820038765668869,0.01,0.1486862301826477
20,0.07729142159223557,0.01,0.17205806076526642
21,0.07690537720918655,0.01,0.15473973751068115
22,0.07224822044372559,0.01,0.15427446365356445
23,0.0758432149887085,0.01,0.1578943431377411
24,0.07084701955318451,0.01,0.15886685252189636
25,0.06666339933872223,0.0009999999,0.13456135988235474
26,0.06324732303619385,0.0009999999,0.1400759518146515
27,0.06166279315948486,0.0009999999,0.14546354115009308
28,0.06037762016057968,0.0009999999,0.1509677916765213
29,0.059256263077259064,0.0009999999,0.15627773106098175
30,0.05825907737016678,0.0009999999,0.1614254117012024
31,0.057706672698259354,9.999999e-05,0.15650241076946259
32,0.057240504771471024,9.999999e-05,0.15727737545967102
33,0.05705351009964943,9.999999e-05,0.15811941027641296
34,0.05690313130617142,9.999999e-05,0.1588880866765976
35,0.05676775053143501,9.999999e-05,0.15961627662181854
36,0.05682767182588577,9.999999e-06,0.15886080265045166
37,0.05667049437761307,9.999999e-06,0.1586190164089203
38,0.05664019286632538,9.999999e-06,0.15847152471542358
39,0.056619640439748764,9.999999e-06,0.15838852524757385
40,0.05660218372941017,9.999999e-06,0.1583493947982788
41,0.05658587068319321,9.999999e-07,0.1583407074213028
42,0.05658072978258133,9.999999e-07,0.15832632780075073
43,0.056577082723379135,9.999999e-07,0.1583145409822464
44,0.056574299931526184,9.999999e-07,0.15830467641353607
45,0.05657191202044487,9.999999e-07,0.1582961082458496
